dgbas_id,name
6701500,七股區
6701600,將軍區
6701700,北門區
6701800,新化區
6701900,善化區
6702000,新市區
6702100,安定區
6702200,山上區
6702300,玉井區
6702400,楠西區
6702500,南化區
6702600,左鎮區
6702700,仁德區
6702800,歸仁區
6702900,關廟區
6703000,龍崎區
6703100,永康區
6703200,東區
6703300,南區
6703400,北區
6703500,安南區
6703600,安平區
6703700,中西區
1000303,大溪鎮
1000305,蘆竹市
6800100,桃園區
6800200,中壢區
6800300,大溪區
6800400,楊梅區
6800500,蘆竹區
6800600,大園區
6800700,龜山區
6800800,八德區
6800900,龍潭區
6801000,平鎮區
6801100,新屋區
6801200,觀音區
6801300,復興區
0900701-001,介壽村
0900701-002,復興村
0900701-003,福沃村
0900701-004,清水村
0900701-005,仁愛村
0900701-006,津沙村
0900701-007,馬祖村
0900701-008,珠螺村
0900701-009,四維村
0900702-001,塘岐村
0900702-002,后沃村
0900702-003,橋仔村
0900702-004,芹壁村
0900702-005,坂里村
0900702-006,白沙村
0900703-001,青帆村
0900703-002,田沃村
0900703-003,西坵村
0900703-004,福正村
0900703-005,大坪村
0900704-001,中柳村
0900704-002,樂華村
0902001-001,東門里
0902001-002,西門里
0902001-003,南門里
0902001-004,北門里
0902001-005,古城里
0902001-006,金水里
0902001-007,珠沙里
0902001-008,賢庵里
0902002-001,汶沙里
0902002-002,三山里
0902002-003,大洋里
0902002-004,光前里
0902002-005,何斗里
0902002-006,西園里
0902002-007,官嶼里
0902002-008,浦山里
0902003-001,新市里
0902003-002,山外里
0902003-003,正義里
0902003-004,料羅里
0902003-005,瓊林里
0902003-006,新湖里
0902003-007,溪湖里
0902003-008,蓮庵里
0902004-001,古寧村
0902004-002,安美村
0902004-003,后盤村
0902004-004,湖埔村
0902004-005,榜林村
0902004-006,盤山村
0902005-001,上岐村
0902005-002,上林村
0902005-003,西口村
0902005-004,林湖村
0902005-005,黃埔村
0902006-001,大坵村
0902006-002,小坵村
1000101-001,留侯里
1000101-002,流芳里
