name,dgbas_id
二崙鄉,1000911
二崙鄉三光里,6801300-006
二崙鄉三民里,6801300-001
二崙鄉奎輝里,6801300-007
二崙鄉澤仁里,6801300-002
二崙鄉羅浮里,6801300-009
二崙鄉義盛里,6801300-003
二崙鄉華陵里,6801300-008
二崙鄉長興里,6801300-005
二崙鄉霞雲里,6801300-004
二崙鄉高義里,6801300-010
二林鎮,1000720
二林鎮三光里,6801300-006
二林鎮三民里,6801300-001
二林鎮奎輝里,6801300-007
二林鎮澤仁里,6801300-002
二林鎮羅浮里,6801300-009
二林鎮義盛里,6801300-003
二林鎮華陵里,6801300-008
二林鎮長興里,6801300-005
二林鎮霞雲里,6801300-004
二林鎮高義里,6801300-010
二水鄉,1000718
二水鄉三光里,6801300-006
二水鄉三民里,6801300-001
二水鄉奎輝里,6801300-007
二水鄉澤仁里,6801300-002
二水鄉羅浮里,6801300-009
二水鄉義盛里,6801300-003
二水鄉華陵里,6801300-008
二水鄉長興里,6801300-005
二水鄉霞雲里,6801300-004
二水鄉高義里,6801300-010
五峰鄉,1000413
五峰鄉三光里,6801300-006
五峰鄉三民里,6801300-001
五峰鄉奎輝里,6801300-007
五峰鄉澤仁里,6801300-002
五峰鄉羅浮里,6801300-009
五峰鄉義盛里,6801300-003
五峰鄉華陵里,6801300-008
五峰鄉長興里,6801300-005
五峰鄉霞雲里,6801300-004
五峰鄉高義里,6801300-010
五結鄉,1000209
五結鄉三光里,6801300-006
五結鄉三民里,6801300-001
五結鄉奎輝里,6801300-007
五結鄉澤仁里,6801300-002
五結鄉羅浮里,6801300-009
五結鄉義盛里,6801300-003
五結鄉華陵里,6801300-008
五結鄉長興里,6801300-005
五結鄉霞雲里,6801300-004
五結鄉高義里,6801300-010
五股區,6501500
五股區三光里,6801300-006
五股區三民里,6801300-001
五股區奎輝里,6801300-007
五股區澤仁里,6801300-002
五股區羅浮里,6801300-009
五股區義盛里,6801300-003
五股區華陵里,6801300-008
五股區長興里,6801300-005
